Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;UPyD;1
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;FE de las JONS;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;VOX;0
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;P.P.;287
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;P.S.O.E.;229
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;PODEMOS;95
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;C's;38
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;I.U.EQUO;26
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;UPyD;6
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;PACMA;5
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;VOX;2
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1048;341;540;731;26;16;FE de las JONS;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;P.S.O.E.;144
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;P.P.;123
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;PODEMOS;50
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;I.U.EQUO;28
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;C's;26
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;PACMA;4
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;UPyD;4
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;FE de las JONS;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;567;259;331;406;14;11;VOX;1
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;P.P.;231
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;P.S.O.E.;140
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;PODEMOS;79
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;C's;53
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;I.U.EQUO;26
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;PACMA;10
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;UPyD;7
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;VOX;4
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;869;346;461;597;26;20;FE de las JONS;1
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;P.P.;255
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;P.S.O.E.;161
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;PODEMOS;106
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;C's;51
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;I.U.EQUO;36
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;PACMA;14
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;UPyD;5
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;VOX;4
